# Filename:			3.txt
# Last Editted by:		
# Last Editted on:		2012/10/18 00:45
W1528
H900
T10000000

# DefinitionIDs for each kind of asset in the level.
D3,WA,deep_ground_world1.png
D7,WA,money.png
D9,GV,world1_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world1.png,Fc:3
D13,WA,deep_lava_world1.png
D14,PL,World 1 platform.png
D28,SW,switch_world1.png,Fc:8
D1,WA,edge_ground_world1.png
D2,WA,corner_ground_world1.png
D4,WA,top_ground_world1.png
D15,WA,joint_ground_world1.png

# Each Placed Asset in the level and its details.
A3,996,864
A3,1284,864
A3,1284,832
A3,1284,800
A3,1284,768
A3,1284,736
A3,1284,704
A3,1284,672
A3,1284,640
A3,1284,608
A3,1284,576
A3,1284,544
A3,1284,512
A3,1284,480
A3,1284,448
A3,1284,416
A3,1284,384
A3,1284,352
A3,1284,320
A3,1284,288
A3,1284,256
A3,1284,224
A3,1284,192
A3,1284,160
A3,1284,128
A3,1284,96
A3,1284,64
A3,1284,32
A3,1284,0
A3,964,0
A3,996,0
A3,516,800
A3,516,832
A3,548,832
A3,548,800
A3,548,768
A3,516,768
A3,516,736
A3,548,736
A3,548,704
A3,516,704
A3,516,672
A3,548,672
A3,548,640
A3,516,640
A3,516,608
A3,548,608
A3,548,576
A3,516,576
A3,516,544
A3,548,544
A3,548,512
A3,516,512
A3,516,480
A3,548,480
A3,548,448
A3,516,448
A3,516,416
A3,548,416
A3,548,384
A3,516,384
A3,516,352
A3,548,352
A3,548,128
A3,516,128
A3,516,96
A3,548,96
A3,548,64
A3,516,64
A3,516,32
A3,548,32
A3,996,32
A3,964,32
A3,964,64
A3,996,64
A3,996,96
A3,964,96
A3,964,128
A3,996,128
A3,996,160
A3,964,160
A3,964,192
A3,996,192
A3,996,224
A3,964,224
A3,964,256
A3,996,256
A3,996,288
A3,964,288
A3,964,320
A3,996,320
A3,996,352
A3,964,352
A3,964,384
A3,996,384
A3,996,416
A3,964,416
A3,964,448
A3,996,448
A3,996,480
A3,964,480
A3,964,512
A3,996,512
A3,964,736
A3,996,736
A3,996,768
A3,964,768
A3,964,800
A3,964,832
A3,996,832
A3,996,800
A9,420,64
A9,356,64
A9,292,64
A9,228,64
A14,484,305,D:DownLeft
A14,548,305,D:DownLeft
A28,267,683
A14,260,576
A14,292,672
A14,260,792,D:DownLeft
A14,420,792,D:DownLeft
A9,804,64
A9,740,64
A9,676,64
A9,804,128
A9,804,192
A9,740,192
A9,676,192
A9,676,256
A9,740,256
A9,804,256
A9,676,320
A9,676,384
A9,740,384
A9,804,384
A9,804,448
A9,740,448
A9,676,448
A9,804,512
A9,804,576
A9,740,576
A9,676,576
A9,676,640
A9,740,640
A9,804,640
A9,804,704
A9,740,704
A9,676,704
A14,932,690
A14,996,690
A14,676,552,D:DownLeft
A14,740,552,D:DownLeft
A14,740,336,D:DownLeft
A14,804,336,D:DownLeft
A14,676,144,D:DownLeft
A14,740,144,D:DownLeft
A14,676,24
A14,740,24
A14,804,24
A9,676,128
A9,740,128
A9,740,320
A9,804,320
A9,740,512
A9,676,512
A9,420,768
A9,420,704
A9,420,640
A9,420,576
A9,420,512
A9,420,448
A9,420,384
A11,1188,768,D:UpRight
A9,1124,64
A9,1124,128
A9,1124,192
A9,1124,256
A9,1124,320
A9,1124,384
A9,1124,448
A9,1124,512
A9,1124,576
A9,1124,640
A9,1124,704
A7,1214,152
A14,1060,552,D:DownLeft
A14,1188,240,D:DownLeft
A14,1124,24
A1,228,832
A1,228,800
A1,228,768
A1,228,736
A1,228,704
A1,228,672
A1,228,640
A1,228,608
A1,228,576
A1,228,544
A1,228,512
A1,228,480
A1,228,448
A1,228,416
A1,228,384
A1,228,352
A1,228,320
A1,228,288
A1,228,256
A1,228,224
A1,228,192
A1,228,160
A1,228,128
A1,228,96
A1,228,64
A1,228,32
A1,580,128
A1,580,96
A1,580,64
A1,580,32
A1,580,352
A1,580,384
A1,580,416
A1,580,448
A1,580,480
A1,580,512
A1,580,544
A1,580,576
A1,580,608
A1,580,640
A1,580,672
A1,580,704
A1,580,736
A1,580,768
A1,580,800
A1,580,832
A1,1028,832
A1,1028,800
A1,1028,768
A1,1028,736
A1,1028,512
A1,1028,480
A1,1028,448
A1,1028,416
A1,1028,384
A1,1028,352
A1,1028,320
A1,1028,288
A1,1028,256
A1,1028,224
A1,1028,192
A1,1028,160
A1,1028,128
A1,1028,96
A1,1028,64
A1,1028,32
A1,932,32,D:UpRight
A1,932,64,D:UpRight
A1,932,96,D:UpRight
A1,932,128,D:UpRight
A1,932,160,D:UpRight
A1,932,192,D:UpRight
A1,932,224,D:UpRight
A1,932,256,D:UpRight
A1,932,288,D:UpRight
A1,932,320,D:UpRight
A1,932,352,D:UpRight
A1,932,384,D:UpRight
A1,932,416,D:UpRight
A1,932,448,D:UpRight
A1,932,480,D:UpRight
A1,932,512,D:UpRight
A1,1252,832,D:UpRight
A1,1252,800,D:UpRight
A1,1252,768,D:UpRight
A1,1252,736,D:UpRight
A1,1252,704,D:UpRight
A1,1252,672,D:UpRight
A1,1252,640,D:UpRight
A1,1252,608,D:UpRight
A1,1252,576,D:UpRight
A1,1252,544,D:UpRight
A1,1252,512,D:UpRight
A1,1252,480,D:UpRight
A1,1252,448,D:UpRight
A1,1252,416,D:UpRight
A1,1252,384,D:UpRight
A1,1252,352,D:UpRight
A1,1252,320,D:UpRight
A1,1252,288,D:UpRight
