# Filename:			2.txt
# Last Editted by:		
# Last Editted on:		2012/11/27 10:36
W2728
H720
T10000000

# DefinitionIDs for each kind of asset in the level.
D0,WA,top_ground_world2.png
D1,WA,edge_ground_world2.png
D2,WA,corner_ground_world2.png
D3,WA,deep_ground_world2.png
D4,WA,joint_ground_world2.png
D7,WA,money.png
D9,GV,world2_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world2.png,Fc:3
D13,WA,deep_lava_world2.png
D14,PL,World 2 platform.png

# Each Placed Asset in the level and its details.
A3,128,0
A3,128,32
A3,128,64
A3,128,96
A3,128,384
A3,128,416
A3,128,448
A3,128,480
A3,128,512
A3,128,512
A3,128,544
A3,128,576
A3,128,608
A3,128,640
A3,128,672
A3,128,704
A3,160,416
A3,160,384
A10,161,256
A14,448,360
A3,160,0
A3,192,0
A3,224,0
A3,256,0
A3,288,0
A3,320,0
A3,352,0
A3,384,0
A3,416,0
A3,448,0
A3,480,0
A3,512,0
A3,544,0
A3,576,0
A3,608,0
A3,672,0
A3,640,0
A3,704,0
A3,736,0
A3,768,0
A3,800,0
A3,832,0
A3,864,0
A3,896,0
A3,928,0
A3,960,0
A3,1632,0
A3,1664,0
A3,1696,0
A3,1728,0
A3,1760,0
A3,1792,0
A3,1824,0
A3,1856,0
A3,1888,0
A3,1920,0
A3,1952,0
A3,1984,0
A3,2016,0
A3,2048,0
A3,2080,0
A3,2112,0
A3,2144,0
A3,2176,0
A3,2208,0
A3,2240,0
A3,2272,0
A3,2304,0
A3,2336,0
A3,2368,0
A3,2400,0
A3,2432,0
A3,2464,0
A3,2496,0
A3,2528,0
A3,2560,0
A3,2592,0
A3,2592,32
A3,2592,64
A3,2592,96
A3,2592,128
A3,2592,160
A3,2592,192
A3,2592,224
A3,2592,256
A3,2592,288
A3,2592,320
A3,2592,352
A3,2592,384
A3,2592,416
A3,2592,448
A3,2592,480
A3,2592,512
A3,2592,544
A3,2592,576
A3,2592,608
A3,2592,640
A3,2592,672
A3,2592,704
A3,2560,704
A3,2528,704
A3,2528,672
A3,2560,672
A3,2560,640
A3,2528,640
A3,2528,608
A3,2560,608
A3,2528,576
A3,2528,544
A3,2528,512
A3,2528,480
A3,2592,480
A3,2560,480
A3,2560,512
A3,2560,544
A3,2560,576
A3,2560,448
A3,2560,416
A3,2560,384
A3,2560,352
A3,2528,352
A3,2528,384
A3,2528,416
A3,2528,448
A3,2496,448
A3,2496,416
A3,2496,384
A3,2496,352
A3,2464,448
A3,2400,416
A3,2432,416
A3,2464,416
A3,2464,384
A3,2432,384
A3,2400,384
A3,2464,352
A3,2560,320
A3,2560,288
A3,2560,256
A3,2560,224
A3,2560,192
A3,2560,160
A3,2560,128
A3,2560,96
A3,2560,64
A3,2560,32
A14,576,432
A14,704,504
A14,832,576
A14,896,576
A14,1728,576
A3,2528,320
A3,2528,288
A3,2528,256
A3,2528,224
A3,2528,192
A3,2528,160
A3,2528,128
A3,2528,96
A3,2528,64
A3,2528,32
A14,960,504
A14,1088,504
A14,1216,504
A14,1344,504
A14,1472,504
A14,1600,504
A14,1664,589
A14,1856,504
A14,1984,432
A14,2112,360
A3,2496,320
A3,2496,288
A3,2496,256
A3,2496,224
A3,2496,192
A3,2496,160
A3,2496,128
A3,2496,96
A3,2496,64
A3,2496,32
A3,2496,480
A3,2496,512
A3,2496,544
A3,2496,576
A3,2496,608
A3,2496,640
