# Filename:			4.txt
# Last Editted by:		
# Last Editted on:		2012/11/30 15:12
W2728
H720
T10000000

# DefinitionIDs for each kind of asset in the level.
D0,WA,top_ground_world2.png
D1,WA,edge_ground_world2.png
D2,WA,corner_ground_world2.png
D3,WA,deep_ground_world2.png
D4,WA,joint_ground_world2.png
D6,WA,world2_blades.png
D7,WA,money.png
D38,SW,switch_world2.png,Fc:14
D9,GV,world2_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world2.png,Fc:3
D13,WA,deep_lava_world2.png
D14,PL,World 2 platform.png

# Each Placed Asset in the level and its details.
A3,2592,0
A3,2592,32
A3,2592,64
A3,2592,96
A3,2592,128
A3,2592,160
A3,2592,192
A3,1600,704
A3,1568,704
A3,1536,704
A3,1504,704
A3,1472,704
A3,1440,704
A3,1408,704
A3,1376,704
A3,1344,704
A3,1440,288
A3,1440,320
A3,1440,352
A3,1472,288
A3,1472,320
A3,1472,352
A3,1504,320
A3,1504,384
A3,1440,384
A3,1472,384
A3,1504,352
A3,1472,256
A3,1472,224
A3,1472,192
A3,1472,160
A3,1440,416
A3,1472,416
A3,1504,416
A3,1504,448
A3,1472,448
A3,1440,448
A3,1440,480
A3,1472,480
A3,1504,480
A3,1504,512
A3,1472,512
A3,1440,512
A3,1440,544
A3,1472,544
A3,1504,544
A3,1504,576
A3,1472,576
A3,1440,576
A3,1440,608
A3,1472,608
A3,1504,640
A3,1504,640
A3,1472,640
A3,1440,640
A3,1440,672
A3,1472,672
A3,1504,672
A3,1504,608
A3,1536,320
A3,1568,320
A3,1600,320
A3,1600,320
A3,1600,320
A3,1632,320
A3,1664,320
A3,1696,320
A3,1728,320
A3,1760,320
A3,1792,320
A3,1824,320
A3,1856,320
A3,1888,320
A3,1920,320
A3,1952,320
A3,1984,320
A3,2016,320
A3,2048,320
A3,2080,320
A3,2112,320
A3,2144,320
A3,2176,320
A3,1408,608
A3,1376,608
A3,1344,640
A3,1344,608
A3,1344,672
A3,1376,640
A3,1376,672
A3,1408,672
A3,1408,640
A12,1280,640
A12,1248,640
A12,1216,640
A12,1184,640
A12,1152,640
A12,1120,640
A12,1056,640
A12,1024,640
A12,992,640
A12,928,640
A12,896,640
A12,832,640
A12,800,640
A9,128,640
A9,192,640
A9,128,512
A9,192,512
A9,128,448
A9,128,384
A9,192,384
A9,128,320
A9,192,192
A9,128,192
A9,192,64
A9,128,64
A13,544,320
A13,576,320
A13,608,320
A13,640,320
A13,672,320
A12,416,352,D:DownLeft
A12,384,352,D:DownLeft
A12,448,352,D:DownLeft
A12,512,352,D:DownLeft
A12,544,352,D:DownLeft
A12,576,352,D:DownLeft
A12,640,352,D:DownLeft
A12,672,352,D:DownLeft
A12,320,352,D:DownLeft
A9,704,512
A9,704,448
A12,768,640
A13,736,672
A13,768,672
A13,800,672
A13,832,672
A13,864,672
A13,896,672
A13,928,672
A13,960,672
A13,992,672
A13,1024,672
A13,1056,672
A13,1088,672
A13,1120,672
A13,1152,672
A13,1184,672
A13,1216,672
A13,1248,672
A13,1280,672
A38,704,496
A38,720,496
A38,736,496
A38,752,496
A13,704,672
A12,704,640
A13,160,672
A13,192,672
A13,224,672
A13,256,672
A13,288,672
A13,320,672
A13,352,672
A13,384,672
A13,416,672
A13,448,672
A13,480,672
A13,512,672
A13,544,672
A13,608,672
A13,640,672
A13,672,672
A12,160,640
A12,192,640
A12,224,640
