# 50 Games: Lunar Lander
# Level 2: Avatar
# David Jones, Theo Chin

[PODS]
0=151.0,59.0
1=176.0,59.0
2=131.0,79.0
3=196.0,79.0

[PADS]
166.5,115.0,0
167.0,276.0,1
450.0,286.0,1
500.0,99.0,2

[WALLS]
204.0,115.0,212.0,127.0
212.0,127.0,205.0,143.0
205.0,143.0,193.0,155.0
193.0,155.0,189.0,171.0
189.0,171.0,173.0,175.0
173.0,175.0,154.0,185.0
154.0,185.0,131.0,151.0
131.0,151.0,117.0,143.0
117.0,143.0,116.0,126.0
116.0,126.0,129.0,114.0

515.0,99.0,519.0,104.0
519.0,104.0,514.0,113.0
514.0,113.0,512.0,112.0
512.0,112.0,496.0,130.0
496.0,130.0,486.0,121.0
486.0,121.0,484.0,115.0
484.0,115.0,480.0,112.0
480.0,112.0,484.0,99.0

401.0,178.0,416.0,174.0
416.0,174.0,425.0,190.0
425.0,190.0,405.0,208.0
405.0,208.0,390.0,211.0
390.0,211.0,377.0,204.0
377.0,204.0,367.0,187.0
367.0,187.0,383.0,172.0
383.0,172.0,401.0,178.0

192.0,276.0,197.0,288.0
197.0,288.0,192.0,297.0
192.0,297.0,177.0,305.0
177.0,305.0,172.0,313.0
172.0,313.0,161.0,307.0
161.0,307.0,149.0,310.0
149.0,310.0,142.0,299.0
142.0,299.0,142.0,289.0
142.0,289.0,137.0,286.0
137.0,286.0,141.0,276.0

475.0,286.0,482.0,279.0
482.0,279.0,490.0,285.0
490.0,285.0,494.0,300.0
494.0,300.0,480.0,319.0
480.0,319.0,448.0,330.0
448.0,330.0,437.0,315.0
437.0,315.0,420.0,310.0
420.0,310.0,414.0,299.0
414.0,299.0,424.0,286.0
