# 50 Games: Lunar Lander
# Level 6: Climb
# David Jones, Theo Chin

[PODS]
0=264.0,283.0
1=294.0,283.0
2=324.0,283.0
3=354.0,283.0

[PADS]
100.0,84.0,1
207.5,101.0,0
423.0,103.0,1
509.0,93.0,2

[WALLS]
0.0,74.0,74.0,84.0

125.0,84.0,169.0,101.0

245.0,101.0,254.0,112.0
254.0,112.0,238.0,126.0
238.0,126.0,243.0,138.0
243.0,138.0,228.0,154.0
228.0,154.0,202.0,150.0
202.0,150.0,195.0,176.0
195.0,176.0,184.0,186.0
184.0,186.0,196.0,205.0
196.0,205.0,218.0,298.0
218.0,298.0,240.0,316.0
240.0,316.0,287.0,333.0
287.0,333.0,323.0,328.0
323.0,328.0,364.0,339.0
364.0,339.0,399.0,316.0
399.0,316.0,387.0,285.0
387.0,285.0,401.0,270.0
401.0,270.0,385.0,254.0
385.0,254.0,364.0,247.0
364.0,247.0,362.0,230.0
362.0,230.0,352.0,213.0
352.0,213.0,361.0,197.0
361.0,197.0,390.0,195.0
390.0,195.0,395.0,188.0
395.0,188.0,393.0,169.0
393.0,169.0,379.0,153.0
379.0,153.0,349.0,145.0
349.0,145.0,349.0,134.0
349.0,134.0,333.0,131.0
333.0,131.0,339.0,107.0
339.0,107.0,356.0,108.0
356.0,108.0,378.0,96.0
378.0,96.0,397.0,103.0

448.0,103.0,465.0,78.0
465.0,78.0,485.0,83.0
485.0,83.0,493.0,93.0

524.0,93.0,535.0,74.0
535.0,74.0,554.0,64.0
554.0,64.0,640.0,74.0

246.0,194.0,282.0,165.0
282.0,165.0,312.0,196.0
312.0,196.0,307.0,206.0
307.0,206.0,321.0,208.0
321.0,208.0,317.0,225.0
317.0,225.0,274.0,227.0
274.0,227.0,268.0,202.0
268.0,202.0,246.0,194.0
