# Filename:			3.txt
# Last Editted by:		
# Last Editted on:		2012/12/01 13:29
W2728
H720
T10000000

# DefinitionIDs for each kind of asset in the level.
D0,WA,top_ground_world5.png
D1,WA,edge_ground_world5.png
D2,WA,corner_ground_world5.png
D3,WA,deep_ground_world5.png
D4,WA,joint_ground_world5.png
D20,WA,top_lava_world5.png,Fc:3
D22,WA,deep_lava_world5.png
D6,WA,world5_blades.png
D7,WA,money.png
D9,GV,world5_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D14,PL,World 5 platform.png
D15,SW,switch_world5.png,Fc:8

# Each Placed Asset in the level and its details.
A3,128,0
A3,128,32
A3,128,64
A3,128,128
A3,128,96
A3,128,160
A3,128,192
A3,128,224
A3,128,256
A3,128,288
A3,128,320
A3,128,352
A3,128,384
A3,128,416
A3,128,448
A3,128,480
A3,128,512
A3,128,576
A3,128,544
A3,128,608
A3,128,640
A3,128,672
A3,128,704
A3,2592,0
A3,2592,32
A3,2592,64
A3,2592,96
A3,2592,128
A3,2592,160
A3,2592,192
A3,2592,224
A3,2592,256
A3,2592,288
A3,2592,320
A3,2592,352
A3,2592,384
A3,2592,416
A3,2592,448
A3,2592,480
A3,2592,512
A3,2592,544
A3,2592,608
A3,2592,576
A3,2592,640
A3,2592,672
A3,2592,704
A20,192,672
A20,224,672
A20,256,672
A20,288,672
A20,320,672
A20,352,672
A20,384,672
A20,416,672
A20,448,672
A20,480,672
A20,512,672
A20,544,672
A20,576,672
A20,608,672
A20,640,672
A20,672,672
A20,704,672
A20,736,672
A20,768,672
A20,800,672
A20,832,672
A20,864,672
A20,896,672
A20,928,672
A20,960,672
A20,992,672
A20,1024,672
A20,1056,672
A20,1088,672
A20,1120,672
A20,1152,672
A20,1184,672
A20,1216,672
A20,1248,672
A20,1280,672
A20,1312,672
A20,1344,672
A20,1376,672
A20,1408,672
A20,1440,672
A20,1472,672
A20,1504,672
A20,1536,672
A20,1568,672
A20,1600,672
A20,1632,672
A20,1664,672
A20,1696,672
A20,1728,672
A20,1760,672
A20,1792,672
A20,1824,672
A20,1856,672
A20,1888,672
A20,1920,672
A20,1952,672
A20,1984,672
A20,2016,672
A20,2048,672
A20,2080,672
A20,2112,672
A20,2144,672
A20,2176,672
A20,2208,672
A20,2240,672
A20,2272,672
A20,2304,672
A20,2336,672
A20,2368,672
A20,2400,672
A20,2432,672
A22,2432,704
A22,2400,704
A22,2368,704
A22,2336,704
A22,2304,704
A22,2272,704
A22,2240,704
A22,2208,704
A22,2176,704
A22,2144,704
A22,2112,704
A22,2080,704
A22,2048,704
A22,1984,704
A22,2016,704
A22,1952,704
A22,1920,704
A22,1888,704
A22,1856,704
A22,1824,704
A22,1792,704
A22,1760,704
A22,1728,704
A22,1696,704
A22,1664,704
A22,1600,704
A22,1632,704
A22,1568,704
A22,1536,704
A22,1504,704
A22,1472,704
A22,1440,704
A22,1408,704
A22,1376,704
A22,1344,704
A22,1312,704
A22,1280,704
A22,1248,704
A22,1216,704
A22,1184,704
A22,1152,704
A22,1120,704
A22,1088,704
A22,1056,704
A22,1024,704
A22,992,704
A22,960,704
A22,928,704
A22,896,704
A22,864,704
A22,832,704
A22,800,704
A22,768,704
A22,736,704
A22,704,704
A22,672,704
A22,640,704
