# Filename:			4.txt
# Last Editted by:		
# Last Editted on:		2012/11/03 21:06
W2728
H720
T10000000

# DefinitionIDs for each kind of asset in the level.
D0,WA,top_ground_world4.png
D1,WA,edge_ground_world4.png
D2,WA,corner_ground_world4.png
D3,WA,deep_ground_world4.png
D4,WA,joint_ground_world4.png
D7,WA,money.png
D9,GV,world4_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world4.png,Fc:2
D13,WA,deep_lava_world4.png
D14,PL,World 4 platform.png,Fc:3
D17,SW,switch_world4.png,Fc:14

# Each Placed Asset in the level and its details.
A13,256,704
A13,288,704
A13,320,704
A13,352,704
A13,416,704
A13,384,704
A13,448,704
A13,480,704
A13,512,704
A13,544,704
A13,576,704
A13,608,704
A13,640,704
A13,672,704
A13,704,704
A13,736,704
A13,768,704
A13,800,704
A13,832,704
A13,864,704
A13,896,704
A13,928,704
A13,960,704
A13,992,704
A13,1024,704
A13,1056,704
A13,1088,704
A13,1120,704
A13,1152,704
A13,1184,704
A13,1216,704
A13,1248,704
A13,1280,704
A13,1312,704
A13,1344,704
A13,1376,704
A13,1408,704
A13,1440,704
A13,1472,704
A13,1504,704
A13,1536,704
A13,1568,704
A13,1600,704
A13,1632,704
A13,1664,704
A13,1696,704
A13,1728,704
A13,1760,704
A13,1792,704
A13,1824,704
A13,1856,704
A13,1888,704
A13,1920,704
A13,1952,704
A13,2016,704
A13,1984,704
A13,2048,704
A13,2080,704
A13,2112,704
A13,2144,704
A13,2176,704
A13,2208,704
A13,2240,704
A13,2272,704
A13,2304,704
A13,2336,704
A13,2368,704
A13,2400,704
A13,2432,704
A13,2464,704
A13,2496,704
A13,2528,704
A13,2560,704
A13,2592,704
A12,2592,672
A12,2560,672
A12,2528,672
A12,2496,672
A12,2464,672
A12,2432,672
A12,2400,672
A12,2368,672
A12,2336,672
A12,2304,672
A12,2272,672
A12,2208,672
A12,2240,672
A12,2176,672
A12,2144,672
A12,2112,672
A12,2080,672
A12,2048,672
A12,2016,672
A12,1984,672
A12,1952,672
A12,1920,672
A12,1888,672
A12,1856,672
A12,1824,672
A12,1792,672
A12,1760,672
A12,1728,672
A12,1696,672
A12,1664,672
A12,1632,672
A12,1600,672
A12,1568,672
A12,1536,672
A12,1504,672
A12,1472,672
A12,1440,672
A12,1408,672
A12,1376,672
A12,1344,672
A12,1312,672
A12,1280,672
A12,1248,672
A12,1216,672
