# Filename:			5.txt
# Last Editted by:		
# Last Editted on:		2012/11/27 12:58
W1528
H2400
T10000000

# DefinitionIDs for each kind of asset in the level.
D0,WA,top_ground_world4.png
D1,WA,edge_ground_world4.png
D2,WA,corner_ground_world4.png
D3,WA,deep_ground_world4.png
D4,WA,joint_ground_world4.png
D9,GV,world4_gravity.png,Fc:16
D10,ST,hellevator.png
D11,EX,hellevator.png
D12,WA,top_lava_world4.png,Fc:2
D13,WA,deep_lava_world4.png
D14,PL,World 4 platform.png,Fc:3
D17,SW,switch_world4.png,Fc:14
D29,WA,edge_lava_world4.png,Fc:3

# Each Placed Asset in the level and its details.
A3,0,2208
A3,64,2208
A3,32,2208
A3,96,2208
A3,96,2240
A3,64,2240
A3,32,2240
A3,0,2240
A3,0,2272
A3,32,2272
A3,64,2272
A3,96,2272
A3,96,2304
A3,64,2304
A3,32,2304
A3,0,2304
A3,0,2336
A3,32,2336
A3,64,2336
A3,96,2336
A3,96,2368
A3,64,2368
A3,32,2368
A3,0,2368
A3,96,2176
A3,64,2176
A3,32,2176
A3,0,2176
A3,0,2144
A3,32,2144
A3,64,2144
A3,96,2144
A3,96,2112
A3,64,2112
A3,32,2112
A3,0,2112
A3,0,2080
A3,32,2080
A3,64,2080
A3,96,2080
A3,96,2048
A3,64,2048
A3,32,2048
A3,0,2048
A3,0,2016
A3,32,2016
A3,64,2016
A3,96,2016
A3,0,1600
A3,0,1632
A3,0,1664
A3,0,1696
A3,0,1728
A3,0,1760
A3,0,1792
A3,0,1824
A3,0,1856
A3,0,1888
A3,0,1920
A3,0,1952
A3,0,1984
A3,32,1600
A3,0,1568
A3,32,1568
A3,64,1568
A3,96,1568
A3,0,1536
A3,0,1504
A3,0,1472
A3,0,1440
A3,0,1408
A3,0,1376
A3,0,1344
A3,0,1312
A3,0,1280
A3,0,1248
A3,0,1536
A3,0,1216
A3,32,832
A3,32,864
A3,32,896
A3,32,928
A3,32,960
A3,32,992
A3,32,1024
A3,32,1056
A3,32,1088
A3,32,1120
A3,32,1152
A3,32,1184
A3,0,1184
A3,0,1152
A3,0,1120
A3,0,1088
A3,0,1056
A3,0,1024
A3,0,992
A3,0,960
A3,0,928
A3,0,896
A3,0,864
A3,0,832
A3,0,640
A3,0,672
A3,0,704
A3,0,736
A3,0,768
A3,0,800
A3,0,416
A3,0,448
A3,0,480
A3,0,512
A3,0,544
A3,0,576
A3,0,608
A3,0,384
A3,0,320
